g++ -std=c++14 part2.cc -o part2
./part2 `basename /Users/rvm/Documents/dev/advent-of-code-2024/day12`.in
U (area: 134, edges: 42):
Q (area: 12, edges: 8):
Y (area: 36, edges: 34):
Z (area: 1, edges: 4):
E (area: 5, edges: 6):
M (area: 70, edges: 30):
L (area: 79, edges: 34):
F (area: 2, edges: 4):
J (area: 10, edges: 14):
R (area: 1, edges: 4):
W (area: 77, edges: 30):
K (area: 1, edges: 4):
Z (area: 2, edges: 4):
J (area: 44, edges: 30):
C (area: 31, edges: 18):
J (area: 146, edges: 64):
N (area: 146, edges: 48):
N (area: 44, edges: 18):
I (area: 1, edges: 4):
W (area: 1, edges: 4):
Q (area: 45, edges: 28):
Q (area: 8, edges: 6):
X (area: 47, edges: 30):
U (area: 5, edges: 10):
B (area: 1, edges: 4):
Y (area: 1, edges: 4):
M (area: 124, edges: 86):
Z (area: 1, edges: 4):
L (area: 147, edges: 50):
B (area: 1, edges: 4):
O (area: 4, edges: 8):
P (area: 1, edges: 4):
J (area: 80, edges: 48):
I (area: 2, edges: 4):
Q (area: 1, edges: 4):
T (area: 46, edges: 36):
G (area: 11, edges: 8):
S (area: 1, edges: 4):
D (area: 128, edges: 16):
G (area: 34, edges: 34):
C (area: 73, edges: 24):
M (area: 1, edges: 4):
W (area: 67, edges: 32):
V (area: 6, edges: 8):
O (area: 29, edges: 20):
V (area: 133, edges: 52):
S (area: 3, edges: 6):
R (area: 2, edges: 4):
A (area: 30, edges: 16):
H (area: 1, edges: 4):
Z (area: 46, edges: 18):
Q (area: 1, edges: 4):
H (area: 1, edges: 4):
P (area: 16, edges: 14):
V (area: 1, edges: 4):
E (area: 17, edges: 18):
M (area: 4, edges: 4):
B (area: 1, edges: 4):
Z (area: 91, edges: 54):
H (area: 1, edges: 4):
U (area: 6, edges: 8):
J (area: 2, edges: 4):
L (area: 116, edges: 52):
P (area: 1, edges: 4):
R (area: 23, edges: 18):
X (area: 2, edges: 4):
Y (area: 149, edges: 74):
T (area: 1, edges: 4):
Z (area: 2, edges: 4):
F (area: 99, edges: 30):
I (area: 49, edges: 22):
N (area: 121, edges: 50):
S (area: 1, edges: 4):
E (area: 27, edges: 16):
U (area: 1, edges: 4):
K (area: 1, edges: 4):
Z (area: 2, edges: 4):
T (area: 1, edges: 4):
Z (area: 129, edges: 34):
K (area: 2, edges: 4):
C (area: 1, edges: 4):
I (area: 113, edges: 74):
B (area: 1, edges: 4):
Z (area: 30, edges: 4):
D (area: 81, edges: 30):
J (area: 2, edges: 4):
W (area: 1, edges: 4):
E (area: 2, edges: 4):
L (area: 2, edges: 4):
U (area: 1, edges: 4):
Q (area: 2, edges: 4):
H (area: 1, edges: 4):
O (area: 3, edges: 6):
N (area: 61, edges: 30):
V (area: 4, edges: 4):
J (area: 3, edges: 6):
V (area: 142, edges: 40):
R (area: 23, edges: 20):
H (area: 89, edges: 32):
D (area: 1, edges: 4):
I (area: 130, edges: 64):
D (area: 132, edges: 76):
E (area: 135, edges: 48):
E (area: 1, edges: 4):
O (area: 1, edges: 4):
I (area: 23, edges: 22):
X (area: 2, edges: 4):
N (area: 8, edges: 10):
B (area: 8, edges: 10):
V (area: 77, edges: 48):
J (area: 6, edges: 8):
C (area: 2, edges: 4):
R (area: 1, edges: 4):
R (area: 95, edges: 40):
E (area: 2, edges: 4):
O (area: 30, edges: 26):
K (area: 1, edges: 4):
E (area: 1, edges: 4):
Q (area: 46, edges: 22):
H (area: 12, edges: 18):
W (area: 1, edges: 4):
F (area: 1, edges: 4):
T (area: 3, edges: 6):
F (area: 23, edges: 22):
J (area: 99, edges: 50):
X (area: 3, edges: 6):
U (area: 133, edges: 50):
D (area: 1, edges: 4):
S (area: 1, edges: 4):
Y (area: 54, edges: 26):
P (area: 30, edges: 16):
Q (area: 38, edges: 24):
L (area: 2, edges: 4):
P (area: 96, edges: 48):
X (area: 2, edges: 4):
I (area: 9, edges: 12):
U (area: 2, edges: 4):
A (area: 1, edges: 4):
N (area: 1, edges: 4):
N (area: 1, edges: 4):
L (area: 1, edges: 4):
O (area: 1, edges: 4):
X (area: 137, edges: 52):
J (area: 4, edges: 4):
J (area: 3, edges: 6):
E (area: 109, edges: 50):
U (area: 25, edges: 20):
V (area: 113, edges: 18):
H (area: 30, edges: 26):
K (area: 1, edges: 4):
B (area: 3, edges: 6):
G (area: 444, edges: 104):
-------
(52,108)X (area: 1, edges: 4):
D (area: 4, edges: 4):
B (area: 1, edges: 4):
Z (area: 111, edges: 42):
J (area: 3, edges: 6):
Y (area: 1, edges: 4):
W (area: 2, edges: 4):
P (area: 5, edges: 6):
F (area: 64, edges: 36):
K (area: 171, edges: 82):
V (area: 3, edges: 4):
Q (area: 1, edges: 4):
K (area: 238, edges: 58):
Y (area: 37, edges: 24):
N (area: 5, edges: 6):
E (area: 3, edges: 4):
Y (area: 18, edges: 8):
U (area: 2, edges: 4):
K (area: 1, edges: 4):
Y (area: 1, edges: 4):
D (area: 2, edges: 4):
L (area: 2, edges: 4):
Y (area: 3, edges: 6):
Q (area: 32, edges: 20):
Q (area: 34, edges: 12):
X (area: 5, edges: 6):
F (area: 1, edges: 4):
X (area: 35, edges: 16):
S (area: 4, edges: 6):
M (area: 106, edges: 42):
P (area: 3, edges: 4):
Q (area: 88, edges: 42):
S (area: 5, edges: 10):
J (area: 132, edges: 60):
T (area: 110, edges: 10):
W (area: 3, edges: 6):
R (area: 2, edges: 4):
P (area: 41, edges: 24):
G (area: 1, edges: 4):
O (area: 69, edges: 42):
E (area: 76, edges: 24):
B (area: 1, edges: 4):
E (area: 23, edges: 22):
D (area: 2, edges: 4):
S (area: 1, edges: 4):
X (area: 55, edges: 50):
Q (area: 1, edges: 4):
P (area: 54, edges: 22):
W (area: 1, edges: 4):
C (area: 4, edges: 6):
A (area: 1, edges: 4):
D (area: 1, edges: 4):
F (area: 2, edges: 4):
K (area: 125, edges: 54):
T (area: 100, edges: 54):
L (area: 1, edges: 4):
I (area: 1, edges: 4):
W (area: 139, edges: 52):
U (area: 1, edges: 4):
D (area: 17, edges: 14):
A (area: 101, edges: 58):
I (area: 27, edges: 20):
L (area: 15, edges: 16):
S (area: 2, edges: 4):
Z (area: 2, edges: 4):
V (area: 1, edges: 4):
V (area: 1, edges: 4):
T (area: 1, edges: 4):
P (area: 112, edges: 56):
D (area: 1, edges: 4):
Q (area: 10, edges: 10):
O (area: 1, edges: 4):
Z (area: 1, edges: 4):
T (area: 104, edges: 54):
Z (area: 62, edges: 22):
V (area: 1, edges: 4):
S (area: 1, edges: 4):
O (area: 139, edges: 66):
H (area: 2, edges: 4):
J (area: 2, edges: 4):
Z (area: 115, edges: 44):
U (area: 30, edges: 24):
L (area: 1, edges: 4):
P (area: 2, edges: 4):
G (area: 2, edges: 4):
O (area: 2, edges: 4):
J (area: 1, edges: 4):
V (area: 29, edges: 22):
N (area: 43, edges: 26):
U (area: 10, edges: 16):
C (area: 1, edges: 4):
Q (area: 1, edges: 4):
C (area: 70, edges: 40):
J (area: 7, edges: 8):
Y (area: 35, edges: 24):
Y (area: 18, edges: 14):
V (area: 2, edges: 4):
L (area: 1, edges: 4):
K (area: 9, edges: 10):
D (area: 3, edges: 4):
O (area: 1, edges: 4):
W (area: 8, edges: 10):
B (area: 69, edges: 34):
J (area: 2, edges: 4):
R (area: 44, edges: 28):
G (area: 67, edges: 32):
U (area: 94, edges: 34):
G (area: 3, edges: 6):
G (area: 7, edges: 6):
E (area: 15, edges: 10):
G (area: 1, edges: 4):
Q (area: 5, edges: 10):
Q (area: 7, edges: 12):
F (area: 40, edges: 44):
S (area: 150, edges: 48):
R (area: 245, edges: 72):
P (area: 99, edges: 44):
C (area: 3, edges: 6):
G (area: 172, edges: 20):
K (area: 3, edges: 6):
P (area: 10, edges: 12):
E (area: 10, edges: 14):
T (area: 32, edges: 14):
G (area: 6, edges: 8):
M (area: 137, edges: 62):
V (area: 21, edges: 20):
V (area: 103, edges: 52):
W (area: 3, edges: 6):
C (area: 3, edges: 6):
Q (area: 3, edges: 6):
V (area: 1, edges: 4):
H (area: 87, edges: 42):
S (area: 41, edges: 26):
R (area: 40, edges: 28):
R (area: 1, edges: 4):
A (area: 1, edges: 4):
C (area: 1, edges: 4):
L (area: 2, edges: 4):
H (area: 2, edges: 4):
F (area: 133, edges: 58):
H (area: 10, edges: 8):
Q (area: 13, edges: 14):
J (area: 14, edges: 14):
C (area: 26, edges: 28):
K (area: 32, edges: 22):
L (area: 2, edges: 4):
C (area: 106, edges: 54):
V (area: 1, edges: 4):
X (area: 3, edges: 6):
L (area: 1, edges: 4):
R (area: 1, edges: 4):
I (area: 3, edges: 6):
T (area: 48, edges: 22):
E (area: 1, edges: 4):
V (area: 1, edges: 4):
M (area: 116, edges: 48):
E (area: 1, edges: 4):
A (area: 4, edges: 6):
F (area: 2, edges: 4):
L (area: 1, edges: 4):
N (area: 1, edges: 4):
I (area: 2, edges: 4):
I (area: 23, edges: 18):
H (area: 79, edges: 38):
X (area: 4, edges: 4):
T (area: 2, edges: 4):
Y (area: 2, edges: 4):
H (area: 1, edges: 4):
D (area: 1, edges: 4):
B (area: 1, edges: 4):
X (area: 14, edges: 14):
Y (area: 7, edges: 6):
B (area: 134, edges: 58):
V (area: 1, edges: 4):
B (area: 14, edges: 10):
M (area: 142, edges: 74):
E (area: 1, edges: 4):
H (area: 1, edges: 4):
Y (area: 91, edges: 42):
D (area: 3, edges: 6):
Z (area: 8, edges: 6):
N (area: 36, edges: 14):
P (area: 15, edges: 14):
B (area: 165, edges: 36):
H (area: 1, edges: 4):
K (area: 6, edges: 8):
K (area: 39, edges: 16):
B (area: 150, edges: 52):
D (area: 2, edges: 4):
O (area: 75, edges: 54):
L (area: 45, edges: 26):
C (area: 30, edges: 24):
L (area: 1, edges: 4):
I (area: 3, edges: 6):
Y (area: 1, edges: 4):
Z (area: 1, edges: 4):
N (area: 2, edges: 4):
I (area: 111, edges: 52):
B (area: 59, edges: 26):
J (area: 16, edges: 20):
X (area: 13, edges: 10):
J (area: 1, edges: 4):
O (area: 6, edges: 8):
W (area: 27, edges: 18):
C (area: 1, edges: 4):
T (area: 29, edges: 16):
G (area: 1, edges: 4):
U (area: 59, edges: 40):
U (area: 86, edges: 44):
J (area: 114, edges: 58):
G (area: 2, edges: 4):
K (area: 1, edges: 4):
H (area: 51, edges: 32):
J (area: 36, edges: 22):
R (area: 1, edges: 4):
O (area: 23, edges: 18):
K (area: 72, edges: 32):
R (area: 1, edges: 4):
T (area: 150, edges: 52):
Q (area: 4, edges: 6):
R (area: 97, edges: 50):
E (area: 13, edges: 10):
L (area: 42, edges: 20):
O (area: 1, edges: 4):
S (area: 1, edges: 4):
F (area: 3, edges: 6):
C (area: 45, edges: 28):
T (area: 1, edges: 4):
I (area: 44, edges: 30):
X (area: 9, edges: 8):
V (area: 164, edges: 68):
J (area: 9, edges: 12):
D (area: 9, edges: 8):
C (area: 1, edges: 4):
H (area: 126, edges: 70):
P (area: 44, edges: 34):
P (area: 111, edges: 60):
R (area: 92, edges: 50):
U (area: 1, edges: 4):
I (area: 96, edges: 40):
Y (area: 1, edges: 4):
T (area: 56, edges: 36):
G (area: 1, edges: 4):
V (area: 131, edges: 58):
D (area: 6, edges: 10):
O (area: 1, edges: 4):
N (area: 64, edges: 34):
Q (area: 15, edges: 10):
M (area: 1, edges: 4):
Y (area: 8, edges: 10):
Y (area: 1, edges: 4):
P (area: 83, edges: 48):
X (area: 4, edges: 8):
E (area: 32, edges: 24):
Z (area: 1, edges: 4):
M (area: 111, edges: 50):
E (area: 84, edges: 36):
J (area: 6, edges: 8):
X (area: 4, edges: 8):
G (area: 1, edges: 4):
Y (area: 1, edges: 4):
Q (area: 2, edges: 4):
G (area: 1, edges: 4):
F (area: 83, edges: 46):
S (area: 1, edges: 4):
V (area: 1, edges: 4):
G (area: 1, edges: 4):
K (area: 8, edges: 10):
T (area: 1, edges: 4):
Y (area: 1, edges: 4):
L (area: 16, edges: 18):
E (area: 1, edges: 4):
C (area: 3, edges: 6):
Q (area: 3, edges: 6):
I (area: 103, edges: 66):
Y (area: 108, edges: 50):
N (area: 89, edges: 44):
K (area: 2, edges: 4):
E (area: 90, edges: 44):
O (area: 50, edges: 30):
V (area: 2, edges: 4):
V (area: 1, edges: 4):
V (area: 56, edges: 20):
P (area: 1, edges: 4):
W (area: 1, edges: 4):
B (area: 1, edges: 4):
G (area: 37, edges: 28):
L (area: 126, edges: 60):
M (area: 1, edges: 4):
O (area: 27, edges: 26):
Y (area: 2, edges: 4):
J (area: 59, edges: 36):
H (area: 2, edges: 4):
S (area: 1, edges: 4):
Q (area: 35, edges: 34):
J (area: 1, edges: 4):
Y (area: 1, edges: 4):
Y (area: 9, edges: 16):
C (area: 53, edges: 48):
Y (area: 3, edges: 6):
S (area: 1, edges: 4):
I (area: 124, edges: 64):
A (area: 1, edges: 4):
Y (area: 2, edges: 4):
D (area: 38, edges: 28):
J (area: 1, edges: 4):
G (area: 52, edges: 34):
T (area: 111, edges: 38):
C (area: 203, edges: 64):
Q (area: 1, edges: 4):
R (area: 6, edges: 12):
Z (area: 67, edges: 36):
B (area: 33, edges: 20):
O (area: 2, edges: 4):
V (area: 78, edges: 46):
M (area: 73, edges: 38):
N (area: 2, edges: 4):
N (area: 1, edges: 4):
C (area: 114, edges: 36):
Y (area: 97, edges: 36):
Q (area: 1, edges: 4):
R (area: 45, edges: 34):
A (area: 1, edges: 4):
O (area: 3, edges: 6):
T (area: 1, edges: 4):
Q (area: 77, edges: 38):
L (area: 1, edges: 4):
Y (area: 14, edges: 8):
B (area: 59, edges: 20):
J (area: 1, edges: 4):
C (area: 1, edges: 4):
J (area: 30, edges: 24):
F (area: 1, edges: 4):
L (area: 49, edges: 26):
P (area: 30, edges: 14):
Y (area: 38, edges: 16):
R (area: 1, edges: 4):
D (area: 1, edges: 4):
U (area: 1, edges: 4):
L (area: 38, edges: 10):
P (area: 12, edges: 12):
E (area: 22, edges: 12):
A (area: 3, edges: 6):
R (area: 2, edges: 4):
H (area: 1, edges: 4):
D (area: 9, edges: 8):
U (area: 1, edges: 4):
Z (area: 3, edges: 6):
E (area: 1, edges: 4):
P (area: 1, edges: 4):
R (area: 1, edges: 4):
860382
